REGION,DIVISION,STATE,NAME,SEX,ORIGIN,RACE,AGEGRP,ESTIMATESBASE2000,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004,POPESTIMATE2005,POPESTIMATE2006,POPESTIMATE2007,POPESTIMATE2008,POPESTIMATE2009,CENSUS2010POP,POPESTIMATE2010
3,5,24,Maryland,0,0,0,0,5296647,5311034,5374691,5440389,5496269,5546935,5592379,5627367,5653408,5684965,5730388,5773552,5785982
1,1,25,Massachusetts,0,0,0,0,6349364,6361104,6397634,6417206,6422565,6412281,6403290,6410084,6431559,6468967,6517613,6547629,6557254
2,3,26,Michigan,0,0,0,0,9938823,9952450,9991120,10015710,10041152,10055315,10051137,10036081,10001284,9946889,9901591,9883640,9877574
2,4,27,Minnesota,0,0,0,0,4919631,4933692,4982796,5018935,5053572,5087713,5119598,5163555,5207203,5247018,5281203,5303925,5310584
3,6,28,Mississippi,0,0,0,0,2844754,2848353,2852994,2858681,2868312,2889010,2905943,2904978,2928350,2947806,2958774,2967297,2970036
2,4,29,Missouri,0,0,0,0,5596564,5607285,5641142,5674825,5709403,5747741,5790300,5842704,5887612,5923916,5961088,5988927,5996231
4,8,30,Montana,0,0,0,0,902200,903773,906961,911667,919630,930009,940102,952692,964706,976415,983982,989415,990898
2,4,31,Nebraska,0,0,0,0,1711230,1713820,1719836,1728292,1738643,1749370,1761497,1772693,1783440,1796378,1812683,1826341,1830429
4,8,32,Nevada,0,0,0,0,1998250,2018741,2098399,2173791,2248850,2346222,2432143,2522658,2601072,2653630,2684665,2700551,2704642
1,1,33,New Hampshire,0,0,0,0,1235807,1239882,1255517,1269089,1279840,1290121,1298492,1308389,1312540,1315906,1316102,1316470,1316759
1,2,34,New Jersey,0,0,0,0,8414764,8430621,8492671,8552643,8601402,8634561,8651974,8661679,8677885,8711090,8755602,8791894,8801624
4,8,35,New Mexico,0,0,0,0,1819017,1821204,1831690,1855309,1877574,1903808,1932274,1962137,1990070,2010662,2036802,2059179,2065932
1,2,36,New York,0,0,0,0,18977026,19001780,19082838,19137800,19175939,19171567,19132610,19104631,19132335,19212436,19307066,19378102,19392283
3,5,37,North Carolina,0,0,0,0,8046346,8081614,8210122,8326201,8422501,8553152,8705407,8917270,9118037,9309449,9449566,9535483,9561558
2,4,38,North Dakota,0,0,0,0,642237,642023,639062,638168,638817,644705,646089,649422,652822,657569,664968,672591,674499
2,3,39,Ohio,0,0,0,0,11353336,11363543,11387404,11407889,11434788,11452251,11463320,11481213,11500468,11515391,11528896,11536504,11536182
3,7,40,Oklahoma,0,0,0,0,3450451,3454365,3467100,3489080,3504892,3525233,3548597,3594090,3634349,3668976,3717572,3751351,3761702
4,9,41,Oregon,0,0,0,0,3421524,3429708,3467937,3513424,3547376,3569463,3613202,3670883,3722417,3768748,3808600,3831074,3838957
1,2,42,Pennsylvania,0,0,0,0,12280548,12284173,12298970,12331031,12374658,12410722,12449990,12510809,12563937,12612285,12666858,12702379,12709630
1,1,44,Rhode Island,0,0,0,0,1048259,1050268,1057142,1065995,1071342,1074579,1067916,1063096,1057315,1055003,1053646,1052567,1052886
3,5,45,South Carolina,0,0,0,0,4012023,4024223,4064995,4107795,4150297,4210921,4270150,4357847,4444110,4528996,4589872,4625364,4636312
2,4,46,South Dakota,0,0,0,0,754858,755844,757972,760020,763729,770396,775493,783033,791623,799124,807067,814180,816463
3,6,47,Tennessee,0,0,0,0,5689427,5703719,5750789,5795918,5847812,5910809,5991057,6088766,6175727,6247411,6306019,6346105,6356897
3,7,48,Texas,0,0,0,0,20851028,20944499,21319622,21690325,22030931,22394023,22778123,23359580,23831983,24309039,24801761,25145561,25257114
4,8,49,Utah,0,0,0,0,2233183,2244502,2283715,2324815,2360137,2401580,2457719,2525507,2597746,2663029,2723421,2763885,2776469
1,1,50,Vermont,0,0,0,0,608613,609618,612223,615442,617858,619920,621215,622892,623481,624151,624817,625741,625960
3,5,51,Virginia,0,0,0,0,7079057,7105817,7198362,7286873,7366977,7475575,7577105,7673725,7751000,7833496,7925937,8001024,8024617
4,9,53,Washington,0,0,0,0,5894281,5910512,5985722,6052349,6104115,6178645,6257305,6370753,6461587,6562231,6667426,6724540,6744496
3,5,54,West Virginia,0,0,0,0,1808193,1807021,1801481,1805414,1812295,1816438,1820492,1827912,1834052,1840310,1847775,1852994,1853973
2,3,55,Wisconsin,0,0,0,0,5363757,5373999,5406835,5445162,5479203,5514026,5546166,5577655,5610775,5640996,5669264,5686986,5691047
4,8,56,Wyoming,0,0,0,0,493786,494300,494657,500017,503453,509106,514157,522667,534876,546043,559851,563626,564460
